canonical_perturbation,target_a,target_b,original_condition_labels,total_n,minimum_lane_n,observed_rms,additive_rmse,delta_pearson,cosine,residual_over_response_rms,mean_same_sign_lane_fraction,fraction_genes_majority_lane_sign,se_undefined_lane_n_lt_2,lolo_max_rms_change
ELMSAN1+MAP2K3,ELMSAN1,MAP2K3,MAP2K3+ELMSAN1,484,48,0.05093510057955234,0.02166648838595728,0.9165517196747512,0.9160219035435273,0.42537441056227526,0.5970763131813677,0.6713577799801784,False,0.005558763542015728
KLF1+MAP2K6,KLF1,MAP2K6,KLF1+MAP2K6,222,22,0.05425546787626706,0.021509147575313213,0.949282452124112,0.9493481265061706,0.3964420254261958,0.5808225966303271,0.6545094152626363,False,0.006303912216169777
SNAI1+UBASH3B,SNAI1,UBASH3B,SNAI1+UBASH3B,256,23,0.05105838621707028,0.02138547595606976,0.9257122451641981,0.9252216902289446,0.41884355422341923,0.5836967294350842,0.6574826560951437,False,0.008413860197910994
BAK1+BCL2L11,BAK1,BCL2L11,BCL2L11+BAK1,153,15,0.020173049960076725,0.02109050141938294,0.4788515744440447,0.47944526205449,1.0454790654423545,0.5790882061446977,0.6515361744301288,False,0.007607915322885858
MAP2K3+SLC38A2,MAP2K3,SLC38A2,MAP2K3+SLC38A2,297,24,0.033224845991978204,0.0200382148373967,0.8783421982804591,0.8782361413538019,0.6031093369773548,0.5932606541129831,0.6606541129831517,False,0.006730391370440475
MAPK1+TGFBR2,MAPK1,TGFBR2,MAPK1+TGFBR2,389,42,0.058724628387480673,0.01937439838157235,0.9477036220005425,0.9479159252750066,0.32991947183956505,0.591402378592666,0.6630327056491576,False,0.0063648855534343945
KLF1+TGFBR2,KLF1,TGFBR2,KLF1+TGFBR2,263,20,0.06234144382112887,0.01913768378959491,0.9579383570342341,0.9578960808877817,0.30698172221524217,0.5798810703666997,0.6570862239841427,False,0.005860408221673126
UBASH3A+UBASH3B,UBASH3A,UBASH3B,UBASH3B+UBASH3A,426,43,0.04672823429652671,0.018635796045924812,0.9188945071920116,0.9185469778696675,0.39881233105591585,0.5817641228939544,0.6618434093161546,False,0.0051905920221123935
ETS2+TGFBR2,ETS2,TGFBR2,TGFBR2+ETS2,275,26,0.03569313380615855,0.01850096843604222,0.8910411692901167,0.8915734972599527,0.5183341013573325,0.5809464816650148,0.6555004955401388,False,0.006563219232509845
ELMSAN1+MAP2K6,ELMSAN1,MAP2K6,MAP2K6+ELMSAN1,365,35,0.03812874235689035,0.017979615842554118,0.9148357456068376,0.9142999769684866,0.47155019366394,0.5870664023785926,0.6622398414271556,False,0.005104169432035066
BAK1+TMSB4X,BAK1,TMSB4X,TMSB4X+BAK1,267,22,0.03909997772558386,0.0154457742802174,0.9210111341417478,0.9210115108309833,0.3950328153284583,0.5811199207135778,0.6618434093161546,False,0.006765156884448044
BCL2L11+TGFBR2,BCL2L11,TGFBR2,BCL2L11+TGFBR2,382,40,0.028700636682977166,0.015283825361154496,0.8485968400817365,0.8489864467275052,0.532525655440236,0.5887016848364718,0.6598612487611496,False,0.006529670131370537
BAK1+KLF1,BAK1,KLF1,KLF1+BAK1,323,33,0.055526229242560836,0.01416878132402218,0.9723624855013805,0.9723933171446878,0.25517276280597523,0.5768830525272547,0.6590683845391476,False,0.004928240233276994
