canonical_perturbation,target_a,target_b,original_condition_labels,total_n,minimum_lane_n,observed_rms,additive_rmse,delta_pearson,cosine,residual_over_response_rms,mean_same_sign_lane_fraction,fraction_genes_majority_lane_sign,se_undefined_lane_n_lt_2,lolo_max_rms_change
IGDCC3+PRTG,IGDCC3,PRTG,IGDCC3+PRTG,108,10,0.07473064427285663,0.05022605230308826,0.9360237057564843,0.9358002048350452,0.6720944639484552,0.5880574826560951,0.6386521308225966,False,0.009290966185853573
CEBPE+RUNX1T1,CEBPE,RUNX1T1,CEBPE+RUNX1T1,1030,67,0.059133728815586484,0.04999762407380441,0.9636022974717622,0.9639509421769549,0.8455009530977865,0.614990089197225,0.6773042616451933,False,0.005237693546983882
CEBPB+LYL1,CEBPB,LYL1,LYL1+CEBPB,159,15,0.06740275484400436,0.04948282314378893,0.8703350544918286,0.8714648719931926,0.7341365090835088,0.600569871159564,0.6608523290386521,False,0.009372509859591253
IKZF3+MAPK1,IKZF3,MAPK1,MAPK1+IKZF3,264,26,0.08733387937573713,0.04886652391090156,0.9308083974342922,0.9312963303813924,0.5595368516800083,0.602601585728444,0.6638255698711596,False,0.007283595528763993
CDKN1A+CDKN1C,CDKN1A,CDKN1C,CDKN1C+CDKN1A,80,6,0.07823838152066266,0.048724551231149445,0.9415975715980192,0.9415185895669996,0.6227704393179625,0.5882556987115957,0.6386521308225966,False,0.013242759904471409
CEBPE+ETS2,CEBPE,ETS2,ETS2+CEBPE,320,30,0.08846189599975553,0.04806779263970275,0.9620885738208177,0.9625644524487996,0.5433728510616095,0.6005450941526264,0.6658077304261645,False,0.006489116678266788
RHOXF2BB+SET,RHOXF2BB,SET,RHOXF2BB+SET,267,22,0.09158493073357417,0.04689111672793338,0.9170138327898377,0.9169712629732922,0.5119959839718865,0.5918235877106045,0.6576808721506442,False,0.008245321338177774
CEBPE+FOSB,CEBPE,FOSB,FOSB+CEBPE,142,9,0.1335916530929352,0.04661504544111416,0.9402099291346209,0.9409698656712404,0.34893681125935055,0.5761397423191279,0.6404360753221011,False,0.012318982548064192
PLK4+STIL,PLK4,STIL,PLK4+STIL,66,5,0.06965339323549417,0.0465134991252136,0.7475308663409067,0.7463449545289443,0.6677851137553931,0.5912537165510406,0.6469772051536175,False,0.01646136104529719
DLX2+SNAI1,DLX2,SNAI1,SNAI1+DLX2,107,8,0.09707463826558659,0.046421025696162375,0.87927621027489,0.8791400711272963,0.4781993167892014,0.5805004955401387,0.6380574826560952,False,0.012514591799864307
MAPK1+PRTG,MAPK1,PRTG,MAPK1+PRTG,380,40,0.05313632119192925,0.046286030379296454,0.820890798973516,0.8213260435728412,0.871080822703374,0.6103072348860258,0.6749256689791873,False,0.006131185766624371
CDKN1B+CDKN1C,CDKN1B,CDKN1C,CDKN1C+CDKN1B,79,4,0.06954313235492068,0.04624685125667132,0.925064366049036,0.92507245614679,0.6650096090099258,0.5883795837462834,0.6434093161546085,False,0.014021959398364429
PTPN12+UBASH3A,PTPN12,UBASH3A,PTPN12+UBASH3A,255,25,0.08886230476300201,0.04595755290737759,0.90582704975745,0.9058962154406647,0.5171771431086278,0.5955401387512389,0.6614469772051537,False,0.007584306240038388
CEBPA+ZC3HAV1,CEBPA,ZC3HAV1,ZC3HAV1+CEBPA,124,11,0.16580770953414076,0.04560019847920651,0.9755902135409821,0.975816350900388,0.275018565827406,0.5739345887016848,0.6348860257680872,False,0.015885846600183974
